college_name,url,college_city,enrollment,tuition
Life Pacific College,https://www.free-4u.com/Colleges/Life-Pacific-College.html,San Dimas,659,"$24,901.00"
Lincoln University,https://www.free-4u.com/Colleges/Lincoln-University.html,Oakland,897,"$10,815.00"
Loma Linda University,https://www.free-4u.com/Colleges/Loma-Linda-University.html,Loma Linda,"5,509","$31,752.00"
Los Angeles College of Music,https://www.free-4u.com/Colleges/Los-Angeles-College-of-Music.html,Pasadena,225,"$22,875.00"
Los Angeles Film School,https://www.free-4u.com/Colleges/Los-Angeles-Film-School.html,Hollywood,"3,214",
Loyola Marymount University,https://www.free-4u.com/Colleges/Loyola-Marymount-University.html,Los Angeles,"10,480","$58,626.00"
Marshall B Ketchum University,https://www.free-4u.com/Colleges/Marshall-B-Ketchum-University.html,Fullerton,428,
Marymount California University,https://www.free-4u.com/Colleges/Marymount-California-University.html,Rancho Palos Verdes,"1,823","$49,844.00"
Menlo College,https://www.free-4u.com/Colleges/Menlo-College.html,Atherton,854,"$54,684.00"
Mills College,https://www.free-4u.com/Colleges/Mills-College.html,Oakland,"1,662","$59,342.00"
Minerva Schools at Keck Graduate Institute,https://www.free-4u.com/Colleges/Minerva-Schools-at-Keck-Graduate-Institute.html,Claremont,28,"$27,950.00"
Monterey Institute of International Studies,https://www.free-4u.com/Colleges/Monterey-Institute-of-International-Studies.html,Monterey,811,"$36,126.00"
Mount Saint Mary's University,https://www.free-4u.com/Colleges/Mount-Saint-Mary's-University.html,Los Angeles,"3,664","$52,538.00"
Mt Sierra College,https://www.free-4u.com/Colleges/Mt-Sierra-College.html,Monrovia,547,"$15,461.00"
Musicians Institute,https://www.free-4u.com/Colleges/Musicians-Institute.html,Hollywood,"1,657","$25,605.00"
National University,https://www.free-4u.com/Colleges/National-University.html,La Jolla,"29,202","$13,936.00"
Naval Postgraduate School,https://www.free-4u.com/Colleges/Naval-Postgraduate-School.html,Monterey,"4,121",
New York Film Academy,https://www.free-4u.com/Colleges/New-York-Film-Academy.html,Burbank,"3,886",
Newschool of Architecture and Design,https://www.free-4u.com/Colleges/Newschool-of-Architecture-and-Design.html,San Diego,574,"$25,220.00"
Northwestern Polytechnic University,https://www.free-4u.com/Colleges/Northwestern-Polytechnic-University.html,Fremont,,"$20,720.00"
Notre Dame de Namur University,https://www.free-4u.com/Colleges/Notre-Dame-de-Namur-University.html,Belmont,"2,352","$50,286.00"
Occidental College,https://www.free-4u.com/Colleges/Occidental-College.html,Los Angeles,"2,198","$64,804.00"
Otis College of Art and Design,https://www.free-4u.com/Colleges/Otis-College-of-Art-and-Design.html,Los Angeles,"1,232","$56,490.00"
Pacific College,https://www.free-4u.com/Colleges/Pacific-College.html,Costa Mesa,369,
Pacific College of Oriental Medicine San Diego,https://www.free-4u.com/Colleges/Pacific-College-of-Oriental-Medicine-San-Diego.html,San Diego,671,"$9,072.00"
Pacific Lutheran Theological Seminary,https://www.free-4u.com/Colleges/Pacific-Lutheran-Theological-Seminary.html,Berkeley,116,
Pacific Oaks College,https://www.free-4u.com/Colleges/Pacific-Oaks-College.html,Pasadena,"1,591","$19,992.00"
Pacific School of Religion,https://www.free-4u.com/Colleges/Pacific-School-of-Religion.html,Berkeley,193,
Pacific States University,https://www.free-4u.com/Colleges/Pacific-States-University.html,Los Angeles,277,"$30,436.00"
Pacific Union College,https://www.free-4u.com/Colleges/Pacific-Union-College.html,Angwin,"1,996","$40,521.00"
Pacifica Graduate Institute,https://www.free-4u.com/Colleges/Pacifica-Graduate-Institute.html,Carpinteria,"1,050",
Palo Alto University,https://www.free-4u.com/Colleges/Palo-Alto-University.html,Palo Alto,"1,250","$20,427.00"
Pardee RAND Graduate School,https://www.free-4u.com/Colleges/Pardee-RAND-Graduate-School.html,Santa Monica,104,
Pepperdine University,https://www.free-4u.com/Colleges/Pepperdine-University.html,Malibu,"8,276","$63,482.00"
Phillips Graduate Institute,https://www.free-4u.com/Colleges/Phillips-Graduate-Institute.html,Chatsworth,261,
Pitzer College,https://www.free-4u.com/Colleges/Pitzer-College.html,Claremont,"1,100","$63,750.00"
Platt College Los Angeles,https://www.free-4u.com/Colleges/Platt-College-Los-Angeles.html,Alhambra,"1,075","$15,835.00"
Platt College Ontario,https://www.free-4u.com/Colleges/Platt-College-Ontario.html,Ontario,648,"$15,835.00"
Platt College Riverside,https://www.free-4u.com/Colleges/Platt-College-Riverside.html,Riverside,557,"$15,835.00"
Platt College San Diego,https://www.free-4u.com/Colleges/Platt-College-San-Diego.html,San Diego,318,"$26,990.00"
